l_names,l_team18,l_pos18,l_gp18,l_points18,draft_pick,cost,l_team17,l_pos17,l_gp17,l_points17,l_owners17,l_project17,l_actual17,l_passyds17,l_passtd17,l_passint17,l_rushyds17,l_rushtd17,l_rush1st17,l_recepts17,l_recyds17,l_rectd17,l_rec1st17,l_returnyds17,l_returntd17,l_2pt17,l_fumble17,pick17,cost17,off_linefo18,off_linepff18,off_passydsg17,off_runydsg17,off_ptsg17,def_ydsg17,def_ptsg17,train
Jared Cook,NO,TE,16,221.73,93,2,Oak,TE,16,148.87,0.34999999,138,174,0,0,0,0,0,0,54,688,2,35,0,0,0,1,181,1,2,6,261.79999,129.39999,28,336.5,20.4,0.79768276
Derrick Henry,Ten,RB,16,229.06,12,26,Ten,RB,16,165.47,0.94,50,152,0,0,0,744,5,39,11,136,1,4,0,0,0,0,107,13,17,5,199.39999,114.6,20.9,328,22.299999,0.93294495
Josh Allen,Buf,QB,12,233.06,193,1,,,,,,,,,,,,,,,,,,,,,,,,30,29,176.60001,126.1,18.9,355.10001,22.4,0.9881987
Adam Humphries,Ten,WR,16,235.10001,,,TB,WR,16,149.57001,0.01,303,173,0,0,0,6,0,1,61,631,1,34,49,0,0,1,,,17,5,199.39999,114.6,20.9,328,22.299999,0.92878562
Dede Westbrook,Jax,WR,16,236.89999,,,Jax,WR,7,74.5,0.13,168,301,0,0,0,0,0,0,27,339,1,15,19,0,0,0,,,21,15,224.60001,141.39999,26.1,286.10001,16.799999,0.66403782
Jarvis Landry,Cle,WR,16,239.78999,78,33,Cle,WR,16,312.70001,0.95999998,42,13,0,0,0,7,0,0,112,987,9,60,76,0,0,2,96,23,18,14,201.8,107.1,14.6,328.10001,25.6,0.78242952
Chris Carson,Sea,RB,14,245.97,16,16,Sea,RB,4,53.73,0.44,117,356,0,0,0,208,0,11,7,59,1,3,0,0,0,0,,,12,30,228.60001,101.8,22.9,323.20001,20.799999,0.57824653
Baker Mayfield,Cle,QB,14,248.10001,216,1,Cle,,,,0.13,231,818,,,,,,,,,,,,,,,,,18,14,201.8,107.1,14.6,328.10001,25.6,0.7533595
Amari Cooper,Dal,WR,15,250,108,20,Oak,WR,14,178.73,0.98000002,33,124,0,0,0,4,0,1,48,680,7,28,0,0,0,0,73,38,8,2,196.3,135.60001,22.1,318.10001,20.799999,0.85700721
Julian Edelman,NE,WR,12,254.49001,162,12,NE,WR,16,273.32999,0.75999999,115,685,0,0,0,57,0,3,98,1106,3,55,179,0,0,2,15,25,3,11,276.10001,118.1,28.6,366,18.5,0.93227464
Eric Ebron,Ind,TE,16,261.20001,182,2,Ind,TE,16,151.27,0.47,152,170,0,0,0,0,0,0,53,574,4,30,0,0,0,1,47,9,4,17,180.8,103.8,16.4,367.10001,25.299999,0.95820099
T.Y. Hilton,Ind,WR,14,263.87,54,28,Ind,WR,16,189.39999,0.98000002,27,112,0,0,0,0,0,0,57,966,4,38,0,0,0,1,78,38,4,17,180.8,103.8,16.4,367.10001,25.299999,0.60086083
Odell Beckham Jr.,Cle,WR,12,266.26999,26,49,NYG,WR,4,86.93,1,9,280,0,0,0,8,0,0,25,302,3,15,20,0,0,0,18,51,18,14,201.8,107.1,14.6,328.10001,25.6,0.9733476
Phillip Lindsay,Den,RB,15,279.37,,,,,,,,,,,,,,,,,,,,,,,,,,6,19,208.3,115.8,18.1,290,23.9,0.67647856
Mitchell Trubisky,Chi,QB,14,286.01999,76,17,Chi,QB,12,142.52,0.19,144,186,2193,7,7,248,2,12,0,0,0,0,0,0,1,3,134,4,28,13,175.7,111.8,16.5,319.10001,20,0.8219558
David Johnson,Ari,RB,16,296.73001,17,59,Ari,RB,1,13.77,1,3,493,0,0,0,23,0,0,6,67,0,3,0,0,0,1,6,60,25,27,227.5,86.599998,18.4,310.89999,22.6,0.93226188
Keenan Allen,LAC,WR,16,300.73001,20,42,LAC,WR,16,321.76999,1,13,11,0,0,0,9,0,0,102,1393,6,74,0,0,0,0,40,22,5,23,276.89999,99.699997,22.200001,328.39999,17,0.62218922
Stefon Diggs,Min,WR,15,302.26999,36,30,Min,WR,14,228.89999,0.99000001,24,73,0,0,0,13,0,1,64,849,8,42,0,0,0,0,128,15,23,28,234.60001,122.3,23.9,275.89999,15.8,0.61891145
Tarik Cohen,Chi,RB,16,306.07001,57,32,Chi,RB,16,245.87,0.82999998,103,51,21,1,0,370,2,17,53,353,1,9,855,1,0,2,,,28,13,175.7,111.8,16.5,319.10001,20,0.90289438
Cam Newton,Car,QB,14,310.60001,63,45,Car,QB,16,333.48001,0.99000001,43,9,3302,22,16,754,6,46,0,0,0,0,0,0,1,1,14,37,11,21,192.3,131.39999,22.700001,317.10001,20.4,0.69784951
Tyler Lockett,Sea,WR,16,313.82999,159,19,Sea,WR,16,253.39999,0.25,130,45,0,0,0,58,0,4,45,555,2,23,1186,1,0,0,41,24,12,30,228.60001,101.8,22.9,323.20001,20.799999,0.78281254
Melvin Gordon III,LAC,RB,12,315.17001,11,55,,,,,,,,,,,,,,,,,,,,,,,,5,23,276.89999,99.699997,22.200001,328.39999,17,0.83125645
Jared Goff,LAR,QB,16,315.32001,90,25,LAR,QB,15,256.26001,0.91000003,101,44,3804,28,7,51,1,3,0,0,0,0,0,0,0,3,146,16,1,10,239.39999,122.1,29.9,339.60001,20.6,0.84981048
James White,NE,RB,16,315.57001,188,3,NE,RB,14,156.7,0.2,201,168,0,0,0,171,0,6,56,429,3,25,0,0,0,0,216,1,3,11,276.10001,118.1,28.6,366,18.5,0.99975073
Mike Evans,TB,WR,16,322.60001,65,33,TB,WR,15,234.73,1,17,66,0,0,0,0,0,0,71,1001,5,55,0,0,1,0,59,48,31,22,272.89999,90.599998,20.9,378.10001,23.9,0.63069588
JuJu Smith-Schuster,Pit,WR,16,332.37,59,27,Pit,WR,14,242,0.97000003,42,626,,,,,,,,,,,,,,,,,15,4,273.79999,104.2,25.4,306.89999,19.299999,0.54500425
Travis Kelce,KC,TE,16,338.07001,29,24,KC,TE,15,271.89999,1,20,31,0,0,1,7,0,2,83,1038,8,55,0,0,0,0,7,26,16,18,256.5,118.9,25.9,365.10001,21.200001,0.80781019
Deshaun Watson,Hou,QB,16,354.70001,8,41,Hou,QB,7,178.86,1,49,125,1699,19,8,269,2,14,0,0,0,0,0,0,2,1,103,16,27,32,204.89999,115.1,21.1,346.60001,27.299999,0.79706073
Michael Thomas,NO,WR,16,361.67001,70,38,NO,WR,16,297,1,12,21,0,0,0,0,0,0,104,1245,5,70,0,0,0,0,58,40,2,6,261.79999,129.39999,28,336.5,20.4,0.58241123
Julio Jones,Atl,WR,16,367,25,47,Atl,WR,16,277.76999,1,10,29,0,0,0,15,0,1,88,1444,3,67,0,0,0,0,8,50,24,3,249.39999,115.4,22.1,318.39999,19.700001,0.74225098
Antonio Brown,Oak,WR,15,373.47,22,57,Pit,WR,14,354.29999,1,4,6,0,0,0,0,0,0,101,1533,9,71,61,0,1,0,12,58,13,7,226.89999,97.099998,18.799999,350.10001,23.299999,0.80698615
DeAndre Hopkins,Hou,WR,16,384.10001,31,52,Hou,WR,15,358.87,1,6,5,0,0,0,0,0,0,96,1378,13,69,0,0,0,1,119,30,27,32,204.89999,115.1,21.1,346.60001,27.299999,0.66739798
Ezekiel Elliott,Dal,RB,15,400.20001,1,54,Dal,RB,10,245.23,1,5,52,0,0,0,983,7,55,26,269,2,6,0,0,0,1,19,36,8,2,196.3,135.60001,22.1,318.10001,20.799999,0.62915105
Alvin Kamara,NO,RB,15,419.37,38,58,NO,RB,16,397.57001,1,8,3,0,0,0,728,8,40,81,826,5,38,347,1,1,1,214,1,2,6,261.79999,129.39999,28,336.5,20.4,0.53290236
Todd Gurley II,LAR,RB,14,422.76999,7,67,LAR,RB,15,441.03,1,1,1,0,0,0,1305,13,66,64,788,6,32,0,0,0,2,51,40,1,10,239.39999,122.1,29.9,339.60001,20.6,0.72759014
Saquon Barkley,NYG,RB,16,427.76999,15,54,NYG,RB,,,0.99000001,7,819,,,,,,,,,,,,,,,,,29,25,217.39999,96.800003,15.4,373.20001,24.299999,0.6358732
VARIANCE,,,VARIANCE,8731.706193,4569.029213,328.5662921,,,13.7843612,8227.543753,0.175399596,478764.5824,46207.31425,682019.7862,32.9559387,9.407161804,86703.2679,4.923666372,225.4493074,759.6544356,129921.4537,6.833038609,336.1504568,23228.75788,0.025198939,0.368700265,0.876657825,4705.440681,248.3741343,86.56456828,83.70574475,953.9387256,231.3669984,16.66481848,621.7409334,7.338358755,0.017481173
STDEV,,,STDEV,93.44359899,67.59459456,18.12639766,,,3.712729616,90.70580882,0.418807349,691.9281627,214.9588664,825.8448923,5.740726321,3.067109682,294.4541864,2.218933611,15.01496944,27.56182932,360.446187,2.61400815,18.33440637,152.4098353,0.158741737,0.607206938,0.936300072,68.59621477,15.75989005,9.304008184,9.149084367,30.88589849,15.21075272,4.082256543,24.93473347,2.708940523,0.132216385
MEAN,,,MEAN,157.3364919,99.4,18.86666667,,,13.33613445,156.4240332,0.494098363,428.5163934,245.7786885,232.4786325,1.555555556,0.846153846,165.5384615,1.085470085,8.401709402,37.60683761,443.3504274,2.572649573,21.62393162,43.83760684,0.025641026,0.230769231,0.615384615,104.9390244,18.54878049,15.98830409,16.43274854,220.1163723,111.8701747,21.48654983,334.1052676,21.71052599,0.761443779
N,,,N,171,90,90,0,0,119,119,122,122,122,117,117,117,117,117,117,117,117,117,117,117,117,117,117,82,82,171,171,171,171,171,171,171,171
